authors,#enterseriesname,#enterseriesindex,title,#titleparttwo,series,series_index
"Lisa Childs","","","In the Bodyguard's Arms","","","1.0"
"Lindsey Stoddard","","","Just Like Jackie","","","1.0"
"Linda Williams Jackson","","","A Sky Full of Stars","","","1.0"
"Lisa Bingham","","","Accidental Courtship","","","1.0"
"Linda Thomas-Sundstrom","","","Wolf Slayer","","","1.0"
"Leslie North","Jawhara Sheiks Series","3","The Sheik's Captive Bride","","Jawhara Sheiks Series","3.0"
"Linda Ford","","","Montana Groom of Convenience","","","1.0"
"Leslie North","Jawhara Sheikhs Series","","The Sheikh's Troublesome Bride","","Jawhara Sheikhs Series","1.0"
"Leslie North","All I Want for Christmas","3","A Billionaire for Christmas","","All I Want for Christmas","3.0"
"Leslie North","All I Want for Christmas","2","A SEAL for Christmas","","All I Want for Christmas","2.0"
"Leah Konen","","","Love and Other Train Wrecks","","","1.0"
"Leslie North","All I Want for Christmas","","A Sheikh for Christmas","","All I Want for Christmas","1.0"
"Laura Scott","","","Shattered Lullaby","","","1.0"
"Lance Selfa","","","US Politics in an Age of Uncertainty","","","1.0"
"L.A. Witt","","","Reckless Behavior","","","1.0"
"Laura Frantz","","","The Lacemaker","","","1.0"
"Krista D. Ball","","","Liberate","","","1.0"
"Krista D. Ball","","","Schemes","","","1.0"
"Krista D. Ball","","","Interlude","","","1.0"
"Krista D. Ball","Tranquility","3","Fury","","Tranquility","3.0"
"Kirk Hamilton","","","Bannerman the Enforcer 8","","","1.0"
"Kirk Hamilton","","","Bannerman the Enforcer 6","","","1.0"
"Krishna Sobti","","","Zindaginama","","","1.0"
"Kimberly Krey","Country Brides & Cowboy Boots","","The Lumberjack's Yuletide Bride","(A Cobble Creek Romance)","Country Brides & Cowboy Boots","1.0"
"Kieran Kramer","","","A Wedding At Two Love Lane","","","1.0"
"Kelly Harper","Power Play Series","13","Not So Casual","","Power Play Series","13.0"
"Kazuo Ishiguro","My Twentieth Century Evening and Other Small Breakthroughs","1","The Nobel Lecture 2017","","My Twentieth Century Evening and Other Small Breakthroughs","1.0"
"Kerri Carpenter","","","Bayside's Most Unexpected Bride","","","1.0"
"Kay Dew Shostak","Chanceys","5","Kids are Chancey","","Chanceys","5.0"
"Katy Birchall","","","The It Girl in Rome","","","1.0"
"Kathy Coopmans","Vault","1","Parole","","Vault","1.0"
"Kathy Coopmans","","","The Right Direction","","","1.0"
"Katrina Cudmore","","","Tempted by Her Greek Tycoon","","","1.0"
"Kate Moore","","","The Husband Hunter's Guide to London","","","1.0"
"Kate MacLeod","","","Under Falling Skies","","","1.0"
"Kate Hewitt","","","The Innocent's One_Night Surrender","","","1.0"
"Kassandra Lea","","","A Christmas Kiss","","","1.0"
"Kathryn Albright","","","The Prairie Doctor's Bride","","","1.0"
"Karen Whiddon","","","The Texas Shifter's Mate","","","1.0"
"Karen Witemeyer","","","Hearts Entwined","","","1.0"
