authors,#enterseriesname,#enterseriesindex,title,#titleparttwo,series,series_index
"Serena Lindahl","Soul Tenders","1","Pieces of Her Soul","A Reverse Harem Fantasy","Soul Tenders","1.0"
"Sarah K. L. Wilson","","","Dragon School_Initiate","","","1.0"
"Sarah K. L. Wilson","","","Dragon School_First Flight","","","1.0"
"Sarah Havan","","","One Night Alone","","","1.0"
"Scott Taylor","","","Skylantern Dragons and the Monsters of Mundor","","","1.0"
"S. Moose & C. A. Harms","","","Why I'm Yours","","","1.0"
"Lisa Blackwood & S.M. Schmitz","Warships of the Spire","1","Vengeance","","Warships of the Spire","1.0"
"Heather Hildenbrand","Bitterroot Series","3","Bitter Truth","","Bitterroot Series","3.0"
"S. L. Romines","","","Sperm Donor Wanted","","","1.0"
"SC Huggins","","","The Rising","","","1.0"
"Sam Jefferson","Sea Devil","1","The Sea Devil","The Adventures of Count Felix von Luckner, the Last Raider under Sail","Sea Devil","1.0"
"Ruth Anne Scott","Uoria Mates V","3","The Alien's Clue","","Uoria Mates V","3.0"
"Ruth Anne Scott","Uoria Mates V","2","Gannon & Willow's Story","","Uoria Mates V","2.0"
"Ruby Ryan","Alien Shapeshifters","1","Karak Contact","An Alien Shifter Sci-Fi Romance","Alien Shapeshifters","1.0"
"Ruth Anne Scott","Uoria Mates V","1","The Alien's Back!","","Uoria Mates V","1.0"
"Roxie Lace","","","Sniff My Panties","","","1.0"
"Rose Lagercrantz","","","See You When I See You","","","1.0"
"Rose Lagercrantz & Eva Eriksson","","","When I am happiest","","","1.0"
"Roger Cole & Richard Belfield","","","SAS Operation Storm","","","1.0"
"Rose Lagercrantz & Eva Eriksson","","","My Happy Life","","","1.0"
"Robert Rankin","","","The Greatest Show Off Earth","","","1.0"
"Robert Kroese","Saga of the Iron Dragon","1","The Dream of the Iron Dragon","An Alternate History Viking Epic","Saga of the Iron Dragon","1.0"
"Robbert Bosschart","","","All Alexander's Women","","","1.0"
"Rob J. Hayes","Best Laid Plans","2","The Fifth Empire of Man","","Best Laid Plans","2.0"
"Rob Aspinall","Charlie Cobb","3","The Holdup","Crime & Action Thriller Series)","Charlie Cobb","3.0"
"Rob Aspinall","","","Homecoming","","","1.0"
"Rob Aspinall","Charlie Cobb","2","Death & Back","Crime & Action Thriller Series)","Charlie Cobb","2.0"
"Richard Denney","Ghost Talker Files","1","The Library of Souls","","Ghost Talker Files","1.0"
"Rhiana Ramsey","","","Sweet Oblivion","","","1.0"
"Reina Torres","Second Chance","4","Taking A Chance","","Second Chance","4.0"
"Reina Torres","Second Chance","3","Healing Hearts","","Second Chance","3.0"
"Reina Torres","Second Chance","2","Playing With Fire","","Second Chance","2.0"
"Rachel Kastin & Daniel Gailbraith","Symphony in Red","1","Canon in Crimson","","Symphony in Red","1.0"
"Eliza Knight","Pirates of Britannia: Lords of the Sea","3","The Sea Devil","","Pirates of Britannia: Lords of the Sea","3.0"
"Kathryn le Veque","Pirates of Britannia: Lords of the Sea","2","Leader of Titans","","Pirates of Britannia: Lords of the Sea","2.0"
"Phil Maxey","Order of the Ring","2","Dark Kingdom","","Order of the Ring","2.0"
"Phil Maxey","Order of the Ring","1","Sanctuary","","Order of the Ring","1.0"
"Penelope Prince","","","His to Break","","","1.0"
"Patrick Kriener & Dan Wayley","Scrolls of Alundiel","1","The Sword and the Shadows_The First Chronicle","","Scrolls of Alundiel","1.0"
"Patrick O'Brien","","","The Distant Echo of a Bright Sunny Day","","","1.0"
"Pamela Britton","Men Made in America","12","The Wrangler","","Men Made in America","12.0"
"P. O. Dixon","Pride and Prejudice","","Lady Elizabeth_Everything Will Change","","Pride and Prejudice","1.0"
"P.G. Kassel","","","Dark Ride","","","1.0"
"P. D. Griffith","","","The Prince's Trap","","","1.0"
"Orlando A. Sanchez","","","Wander_A Night Warden Novel","","","1.0"
"Noelle Adams","Tea for Two","3","Seducing Her Brother's Best Friend","","Tea for Two","3.0"
"Noah Harris","Wings of Passion","1","Island Pleasures","","Wings of Passion","1.0"
"Noah Harris","Wings of Passion","2","Unleashing the Dragon","A Shifter Romance","Wings of Passion","2.0"
"Nicole Stuart","Alive!","10","Ice Planet","","Alive!","10.0"
"Nicole René","Falling Warriors","2","How the Warrior Claimed","","Falling Warriors","2.0"
"Nicole Castle","","","The Mercy of the Mako Shark","","","1.0"
"Nicole Castle","Chance Assassin","4","Old Wounds","","Chance Assassin","4.0"
"Nick Wisseman","","","Outcasts","Short Stories by Nick Wisseman","","1.0"
"T S Paul & Nathan Howe","Smuggle Life","1","Double Cross_From the Athena Lee Universe","","Smuggle Life","1.0"
"Nancy Krulik","","","Worse, Worser, Wurst","","","1.0"
"Nancy Krulik","","","Grilled Cheese and Dragons","","","1.0"
"Nancy Ann Healy","Alex and Cassidy","5","Untold","","Alex and Cassidy","5.0"
"G. M. Berrow","","","My Little Pony_Beyond Equestria_Pinkie Pie Steps Up","","","1.0"
"Milly Taiden","An A.L.F.A. Novel","","Dangerous Mating","","An A.L.F.A. Novel","1.0"
"Michael Anderle","Kurtherian Gambit","20","Capture Death","","Kurtherian Gambit","20.0"
"Craig Martelle & Michael Anderle","Bad Company","2","Blockade","Age Of Expansion - A Kurtherian Gambit Series","Bad Company","2.0"
"Ell Leigh Clarke & Michael Anderle","Ascension Myth","8","Bourne","Age Of Expansion - A Kurtherian Gambit Series","Ascension Myth","8.0"
"Michael Anderle","Frank Kurns Stories of the UnknownWorld","2","Bitch's Night Out","","Frank Kurns Stories of the UnknownWorld","2.0"
"Michael Anderle","Frank Kurns Stories of the UnknownWorld","1","You Don't Touch John's Cousin","","Frank Kurns Stories of the UnknownWorld","1.0"
"Mia Ford","","","Trapped in the Cabin","","","1.0"
"Melba Pattillo Beals","","","I Will Not Fear","","","1.0"
"Megan O'Russell","Chronicles of Maggie Trent","1","The Girl Without Magic","","Chronicles of Maggie Trent","1.0"
"Maya Hughes","","","Mr. Ruin","","","1.0"
"Maya Hughes","","","Mr. Control","","","1.0"
"Matt Rogers","Will Slater Series","2","Lion","A Will Slater Thriller","Will Slater Series","2.0"
"Matt Brolly","DCI Michael Lambert crime series","3","Dead Embers","","DCI Michael Lambert crime series","3.0"
"Max Brooks","","","Closure, Limited","","","1.0"
"Mary Frame","Extraordinary Series","3","Extraordinary World","","Extraordinary Series","3.0"
"Mark Douglas Hill","","","The Aphrodisiac Encyclopaedia","","","1.0"
"Edited by Maria Tatar","","","The Classic Fairy Tales_Norton Critical Edition","","","1.0"
"M. L. Briers","","","Witches of Skye_So It Begins","","","1.0"
"M. L. Briers","","","His Mate_Brothers_Witch_mas Time","","","1.0"
"M. L. Briers","","","His Mate_Brothers_Meet the Family","","","1.0"
"M. L. Briers","","","His Mate_Brothers_Witch Way?","","","1.0"
"MJ Fields","Vault","1","Terzetto","","Vault","1.0"
"Lynn Raye Harris","HOT SEAL Team","4","HOT SEAL Bride","","HOT SEAL Team","4.0"
"Luke Chmilenko","Ascend Online","2","Legacy of the Fallen","","Ascend Online","2.0"
"Louise Lyons","","","Separation","","","1.0"
"Lorna Crozier","","","Whetstone","","","1.0"
"Lorelai LaBelle","","","Chasing The O","","","1.0"
"Lloyd Johnson","","","The Best Possible Angle","","","1.0"
"Liza Gyllenhaal","","","A Place For Us","","","1.0"
"Linda Verji","Crooked In Love","2","How To Love A Crook","","Crooked In Love","2.0"
"Linda McNabb","","","Shades of Freedom","","","1.0"
"Leigh Perry","Family Skeleton Mystery","4","The Skeleton Paints a Picture","","Family Skeleton Mystery","4.0"
"Lee Murray","","","Misplaced","","","1.0"
"Lee Murray","","","Battle of the Birds","","","1.0"
"Lee Murray","","","A Dash of Reality","","","1.0"
"Leah Brooke","","","Under the Panther's Protection [Black Panthers 3]","","","1.0"
"Lawrence Ambrose","","","Super World Two","","","1.0"
"Leanne Dunic","","","To Love The Coming End","","","1.0"
"Lanee Lane","","","What Skylar Needs","","","1.0"
"LJ Swallow","","","The Four Horsemen_Chaos","","","1.0"
"LJ Swallow","","","The Four Horsemen_Guardians","","","1.0"
"L.A. Witt","","","Romantic Behavior","","","1.0"
"Kit Rocha","","","Creative Incentives","","","1.0"
"Kit Bladegrave","Ever Witch","2","Dragon Feared","","Ever Witch","2.0"
"Kit Bladegrave","Ever Witch","1","Mortal Raised","","Ever Witch","1.0"
"Kirsten Sowden","Kingdoms","1","The Lost Son","","Kingdoms","1.0"
"Kira Blakely","Forbidden Series","4","Forbidden Three","A Blakely After Dark Novella","Forbidden Series","4.0"
"Kira Archer","","","69 Million Things I Hate About You","Winning the Billionaire","","1.0"
"Kelly Moran","St. Helena Vineyard Series","1","Love Thy Neighbor","","St. Helena Vineyard Series","1.0"
"Kelly Harper","Power Play Series","14","Not So Casual [Part 2]","","Power Play Series","14.0"
"Keith James Bell","Blood, Sweat and Scones","1","Blood, Sweat and Scones","","Blood, Sweat and Scones","1.0"
"Kelly Harper","Power Play Series","13","Not So Casual [Part 1]","","Power Play Series","13.0"
"Kathryn Nolan","","","Bohemian","","","1.0"
"Kate Kisset","St Helena Vineyard Series","2","St.Helena Santa","","St Helena Vineyard Series","2.0"
"Kate Kisset","Family Ties","","Two to Tango","","Family Ties","1.0"
"K.L. Slater","","","The Mistake","","","1.0"
"Justin Bell","War of the Three Planets","7","Stars on Fire","","War of the Three Planets","7.0"
"Jun'ichirō. Tanizaki","","","In Black and White","","","1.0"
"Kapka Kassabova","","","All Roads Lead to the Sea","","","1.0"
"Joseph Hannay","","","The Greater Fool","A Novel","","1.0"
"John Graham","","","Voidstalker","","","1.0"
"John E Bujanowski Jr","Adventures of Boone Nova","5","Return of the Guardian King","The Search for Truth","Adventures of Boone Nova","5.0"
"John E Bujanowski Jr","Adventures of Boone Nova","4","BOONE NOVA AND THEPIRATE QUEEN","","Adventures of Boone Nova","4.0"
"Joanne Pence","","","Cook's Big Day","","","1.0"
"Joanna Chambers","","","Tribute Act","","","1.0"
"Jo Raven","","","Mancave","Epilogue to Caveman","","1.0"
"Jet MacLeod","","","Junction City Cowboy","","","1.0"
"Jessica Prince","","","Tempting Sophia","","","1.0"
"Jesse Ball","","","March Book","","","1.0"
"Jessica Prince","","","Enticing Daphne","","","1.0"
"Jennifer Rose McMahon","Pirate Queen","","Rockfleet","","Pirate Queen","1.0"
"Jeremy Croston","Inglewood Chronicles","4","The Daemon Within","","Inglewood Chronicles","4.0"
"Jennifer Michael","","","Bold","","","1.0"
"Jenni M Rose","Chasing Happy","1","Dead and Buried_Where the Bodies Lie","","Chasing Happy","1.0"
"Jenna Bayley-Burke","","","The Billionaire's Holiday Engagement_Invested in Love","","","1.0"
"Jeffrey Getzin","Bryanae","","The Curse of Immortality","A Bryanae Short","Bryanae","1.0"
"Jeffrey Getzin","Bryanae Series","3","King of Bryanae","","Bryanae Series","3.0"
"Jeffrey Getzin","Bryanae Series","","Prince of Bryanae","","Bryanae Series","1.0"
"Jasmine D'Costa","","","A Matter of Geography","","","1.0"
"Javier Marias","","","Your Face Tomorrow 2","","","1.0"
"James Patterson","Treasure Hunters","5","Quest for the City of Gold","","Treasure Hunters","5.0"
"James David Victor","Jack Forge, Fleet Marine","2","Forged in Space","","Jack Forge, Fleet Marine","2.0"
"James David Victor","Jack Forge, Fleet Marine","1","Recruit","","Jack Forge, Fleet Marine","1.0"
"Jaine Fenn","NewCon Press Novella Set Three","1","The Martian Job","","NewCon Press Novella Set Three","1.0"
"James Bee","","","A Burden Given","","","1.0"
"Jade Falconer","","","Ghost of a Chance","","","1.0"
"Jacqueline Turner","Ends of the Earth","1","The Ends of the Earth","","Ends of the Earth","1.0"
"Jack Alden","Last Assassin Series","2","Altered","","Last Assassin Series","2.0"
"Jade Falconer","","","Once in a Lifetime","","","1.0"
"J.T. Williams","Lost Tales of the Realm","","The Stranger's Quest","","Lost Tales of the Realm","1.0"
"J.M. Bannon","","","The Untold Tales of Dolly Williamson","An Occult Steampunk Thriller: Prequel to The Guild Chronicles (The Guild Chronicles: A Steampunk Fantasy Book Series 0)","","1.0"
"J.L. McCoy","Skye Morrison Vampire Series","6","Retribution of Sins","","Skye Morrison Vampire Series","6.0"
"JJ Knight","Single Dad on Top","2","Single Dad Plus One","A Billionaire and Secret Baby Romantic Comedy","Single Dad on Top","2.0"
"J. C. Hutchins & Jordan Weisman","","","Personal Effects","","","1.0"
"Holly Hook","Barren Trilogy","3","The Freeze","","Barren Trilogy","3.0"
"Holly Hook","Barren Trilogy","2","The Storm","","Barren Trilogy","2.0"
"Holly Hook","Barren Trilogy","1","The Pulse","(A Post Apocalyptic Novel)","Barren Trilogy","1.0"
"Hogarth Brown","Hermeporta","2","Beyond the Raging Flames","","Hermeporta","2.0"
"Hogarth Brown","","","The Hermeporta Beyond the Gates of Hermes","","","1.0"
"Heather Rainier","","","Dance of the Dragon Sorceress [Tangere Tales 3]","","","1.0"
"Harmony Raines","Return to Bear Creek","14","Undercover Eagle","","Return to Bear Creek","14.0"
"Hannah Sullivan","","","Three Poems","","","1.0"
"Grant Everett","","","Scum of the Universe","","","1.0"
"Grace Conley","St Helena Vineyard Series","3","St. Helena Holiday","","St Helena Vineyard Series","3.0"
"Georgette Brown","","","Tempting A Marquess for Christmas","A Steamy Regency Romance Book 5","","1.0"
"Georgette Brown","Steamy Regency Romance","4","Tempting A Marquess","","Steamy Regency Romance","4.0"
"Georgette Brown","","","An Indecent Wager","(A Steamy Regency Romance)","","1.0"
"G M Sherwin","Lazarus series","","The Lazarus Gene","","Lazarus series","1.0"
"Genevieve Raas","Spindlewind Trilogy One","","Spin","A Fairy Tale Retelling","Spindlewind Trilogy One","1.0"
"Frank Carey","","","Pulse","A Collection of Short and Flash Science Fiction","","1.0"
"G. Bailey","King Brothers series","4","Harley's Fall","","King Brothers series","4.0"
"Frank Carey","Heroes of the League","5","Shanna","","Heroes of the League","5.0"
"Jo Carey","Heroes of the League","2","Taggart","","Heroes of the League","2.0"
"Frank Carey","Heroes of the League","1","Nebulon","","Heroes of the League","1.0"
"Foxglove Lee","Queer Ghost Stories","2","The Future is Deadly","A Supernatural Sunglasses Story","Queer Ghost Stories","2.0"
"Felicity Fleming","","","Stuck in the Window","A Lonely Wife Finds Herself Alone With Her Sexy Black Neighbor","","1.0"
"Faith Andrews","St Helena Vineyard","1","St. Helena Vineyard Series","A Taste of Love","St Helena Vineyard","1.0"
"Eric Brown","NewCon Press Novella Set Three","2","The Martian Simulacra","A Sherlock Holmes Mystery","NewCon Press Novella Set Three","2.0"
"Emma Sterner-Radley","Sterner","1","Long_Distance Coffee","","Sterner","1.0"
"Elizabeth Spencer","","","Starting Over","","","1.0"
"Elizabeth Meyette","Brentwood Saga","3","Love's Courage","","Brentwood Saga","3.0"
"Elizabeth Knox","","","Revenge","","","1.0"
"Elizabeth Ellen Carter & Dragonblade Publishing","Heart of the Corsairs","2","Revenge of the Corsairs","","Heart of the Corsairs","2.0"
"Elizabeth Bright","Wicked Secrets","","Twice as Wicked","","Wicked Secrets","1.0"
"Elisa Leigh","Steel Daggers MC","3","Their Holly Bell","","Steel Daggers MC","3.0"
"Edward M. Anson","","","Alexanders Heirs","","","1.0"
"E.T.A. Hoffmann","","","The Sandman","","","1.0"
"Drako","Dragon Hunters","2","The Dragon Witch","","Dragon Hunters","2.0"
"E.J Bennett","Hidden World","1","Wicked Forest","","Hidden World","1.0"
"Douglas E. Richards","Split Second","2","Time Frame","","Split Second","2.0"
"Donna Cummings","Curse of True Love","2","Lord Wastrel","","Curse of True Love","2.0"
"Donna Cummings","Curse of True Love","","Lord Rakehell's Love","","Curse of True Love","1.0"
"Donald Wigboldy","Tales of Alus","14","Battle Mage Broken Empire","","Tales of Alus","14.0"
"Dixie Lynn Dwyer","","","Sons of Justice 13_Off the Market for Love","","","1.0"
"Diane Alberts","","","Catching the Player_Hamilton Family","","","1.0"
"Debra Dunbar","","","Ten Lows A_Leaping","An Imp World Story","","1.0"
"Debra Dunbar","","","Far From Center","An Imp World Novel","","1.0"
"Debra Dunbar","Imp World","14","Northern Lights","","Imp World","14.0"
"Debra Dunbar","","","Three Wishes","","","1.0"
"Debra Dunbar","","","No Man's Land","","","1.0"
"Debra Dunbar","","","Stolen Souls","","","1.0"
"Debra Dunbar","Northern Wolves","4","Bad Seed","An Imp World Novel","Northern Wolves","4.0"
"Debra Dunbar","Northern Wolves","3","Winter Fae","An Imp World Novel","Northern Wolves","3.0"
"Debra Dunbar","Northern Wolves","1","Juneau to Kenai","An Imp World Novella","Northern Wolves","1.0"
"Debra Dunbar","Northern Wolves","2","Rogue","An Imp World Novella","Northern Wolves","2.0"
"Debra Dunbar","Imp Series","9","Queen of the Damned","","Imp Series","9.0"
"Debra Dunbar","Imp Series","8","Exodus","","Imp Series","8.0"
"Debra Dunbar","Imp Series","7","Kingdom of Lies","","Imp Series","7.0"
"Debra Dunbar","Imp","6","Angel of Chaos","","Imp","6.0"
"Debra Dunbar","Imp","5","Imp Forsaken","","Imp","5.0"
"Debra Dunbar","Imp","4","Devil's Paw","","Imp","4.0"
"Debra Dunbar","Imp","3","Elven Blood","","Imp","3.0"
"Debra Dunbar","Imp","2","Satan's Sword","","Imp","2.0"
"Debra Dunbar","Imp","1","A Demon Bound","","Imp","1.0"
"Debra Dunbar","","","A Suburban Summoning","An Imp Series Story","","1.0"
"Debra Dunbar","","","Imp","An Urban Fantasy Novella","","1.0"
"Debra Dunbar","Half-breed","5","City of Lust","","Half-breed","5.0"
"Debra Dunbar","Half-breed Series","4","Unholy Pleasures","","Half-breed Series","4.0"
"Debra Dunbar","Half-breed","3","Cornucopia","","Half-breed","3.0"
"Debra Dunbar","Half-breed Series","2","Sins of the Flesh","","Half-breed Series","2.0"
"Debra Dunbar","","","Demons of Desire","","","1.0"
"Dean Burnett","","","The Idiot Brain","A Neuroscientist Explains What Your Head Is Really Up To","","1.0"
"David S. Reynolds","Lives and Legacies","1","Walt Whitman","","Lives and Legacies","1.0"
"David J. Lieberman","","","Never Get Angry Again","","","1.0"
"Darrell Maloney","Alone","9","A Stunning Betrayal","","Alone","9.0"
"David Bach","","","Smart Couples Finish Rich, Revised and Updated","9 Steps to Creating a Rich Future for You and Your Partner","","1.0"
"Dani Haviland","Fairies Saga","3.5","Little Bear and the Ladies","","Fairies Saga","3.5"
"Dani Haviland","Fairies Saga","1.5","Ha'penny Jenny","","Fairies Saga","1.5"
"Daisy Allen","Rock Chamber Boys","2","Strum Me","A Rockstar Romance","Rock Chamber Boys","2.0"
"D.D. Galvani","Devils Wind MC","","Fighter's Claim","","Devils Wind MC","1.0"
"D.C. Gambel","Edge of Forever","3","The Return","","Edge of Forever","3.0"
"Cynthia Clark","","","If You Only Knew","A gripping, debut thriller that you won't want to put down","","1.0"
"Lee Murray","","","Conclave","","","1.0"
"Clake Love","","","Fang Brotherhood","A Gay MM Vampire Romance","","1.0"
"Christopher Cleary","","","Writing on the Wall","","","1.0"
"Christina Rozelle & Christina L. Rozelle","Night Blind Saga","2","Murray's Law","Urban Post-Apocalyptic Thriller","Night Blind Saga","2.0"
"Chris Whitaker","","","All the Wicked Girls","","","1.0"
"Chloe Walsh","Carter Kids","5","Inevitable","","Carter Kids","5.0"
"Catarine Hancock","","","the boys i've loved & the end of the world","","","1.0"
"Celeste Raye","Warriors of Milisaria","","Nabvan","(A Sc-Fi Alien Abduction Romance)","Warriors of Milisaria","1.0"
"Cassandra Dee & Katie Ford","","","Taken by the Dom","A Light BDSM Bad Boy Romance","","1.0"
"Cassandra Dee & Katie Ford","","","Spy Games","A Billionaire Bad Boy Heist Romance","","1.0"
"Cary Hart","Forever Series","2","Saving Forever","","Forever Series","2.0"
"Cary Hart","Forever Series","1","Building Forever","","Forever Series","1.0"
"Carrie La Seur","","","The Weight of an Infinite Sky","","","1.0"
"Carolyn Faulkner","Alpha's Woman","2","Kosh's Omega","","Alpha's Woman","2.0"
"Carmen Quick","","","The Billionaire's Little Secret","","","1.0"
"Cara Covington","","","Collaring Colleen [Tales from the Lyon's Den 2]","","","1.0"
"Caitlin Ricci","Thornwood Series","1","Safe and Sound","","Thornwood Series","1.0"
"C.J. Scarlett","Celestial Mates","2","The Artistry of Love","(Alien SciFi Romance)","Celestial Mates","2.0"
"C.J. Scarlett","Celestial Mates","7","Hero's Bride","(Alien SciFi Romance)","Celestial Mates","7.0"
"C.J. Petit","","","Slow John","","","1.0"
"C.E. Black","Bad Alpha Dads","","Makeshift Mate","","Bad Alpha Dads","1.0"
"C.E. Black & Gwen Knight","","","How to Meet your Alpha","Alpha Singles Series, Cruising with Alphas Series","","1.0"
"Brittany Holland","St Helena Vineyard Series","1","Something Borrowed","","St Helena Vineyard Series","1.0"
"Brian Declan","Hidden in the Reed's","1","Home","","Hidden in the Reed's","1.0"
"Bill Myers","Elijah Project","4","The Chamber of Lies","","Elijah Project","4.0"
"Bill Myers","Elijah Project","3","Trapped by Shadows","","Elijah Project","3.0"
"Bill Myers","Elijah Project","2","The Enemy Closes In","","Elijah Project","2.0"
"Ben Boulden","Blaze! Western Series","18","Blaze! Spanish Gold","","Blaze! Western Series","18.0"
"Becca Van","","","Alpha Province_Precious Angel","","","1.0"
"Barrett","Damaged Series","","Windy City Mistletoe","","Damaged Series","1.0"
"Barb Han","","","Texas Showdown","","","1.0"
"BL Craven","","","Protecting What's Mine","A Western Romance","","1.0"
"B. L. Morgan","John Dark","4","Blood And Bones","","John Dark","4.0"
"Aspen Winters","Chosen by Fate Series","1","Open Your Eyes","","Chosen by Fate Series","1.0"
"April Kelley","Chasing Time","1","Less Than a Day","","Chasing Time","1.0"
"Annie Seaton","Prickle Creek series","","His Outback Nanny","","Prickle Creek series","1.0"
"Annie Seaton","Prickle Creek series","","Her Outback Surprise","","Prickle Creek series","1.0"
"Annalisa Daughety","Memphis Moments","2","Can't Help Falling in Love","","Memphis Moments","2.0"
"Anni Antoni","","","Savage Betrayal","A Dark Urban Guardians Fantasy","","1.0"
"Anna Markland & Dragonblade Publishing","Clash of the Tartans","2","Kilted at the Altar","","Clash of the Tartans","2.0"
"Anna J Stewart","St. Helena Vineyard Series","2","Love In Focus","","St. Helena Vineyard Series","2.0"
"Anita Nair","","","Where the Rain is Born","Writings about Kerela","","1.0"
"Angie Stanton","Jamieson Collection","","Snapshot","","Jamieson Collection","1.0"
"Angela Dominguez","","","Stella Diaz Has Something to Say","","","1.0"
"Amy Myers","","","Murder with Majesty","","","1.0"
"Amelia Cobb","Zoe's Rescue Zoo","12","Zoe's Rescue Zoo_The Scruffy Sea Otter","","Zoe's Rescue Zoo","12.0"
"Amelia Cobb","","","The Happy Hippo","","","1.0"
"Amelia Cobb","","","The Giggly Giraffe","","","1.0"
"Connie Bailey","","","Song and Key","","","1.0"
"Aline Riva","Cosmic Inferno","3","S69Q_1","","Cosmic Inferno","3.0"
"Alice Ward","","","The Surprise","","","1.0"
"Alice Bloome","","","Olympus Bewitched","Witches of CSI Paranormal Mysteries","","1.0"
"Alfie Robins","Warren & Jimbo novel","","The Blood Red Line","","Warren & Jimbo novel","1.0"
"Alex Temples","Keepers Series","2","The Book of Eden","","Keepers Series","2.0"
"Alex Temples","Keepers Series","1","Elixir of Eve","","Keepers Series","1.0"
"Alex Laybourne","","","Cave Crawlers","","","1.0"
"Adams Media","Happiness Hacks","1","Happiness Hacks","","Happiness Hacks","1.0"
"A. M. Blaushild","Good Angel Duology","1","Good Angel","","Good Angel Duology","1.0"
"A. H. Lee","Incubus Series","4","Incubus Yule","A Christmas Interlude","Incubus Series","4.0"
"A. H. Lee","Incubus Series","3","Incubus Dreaming","","Incubus Series","3.0"
"A. H. Lee","Incubus Series","2","Incubus Bonded","","Incubus Series","2.0"
"A. Achaka","","","Spilled Blood","","","1.0"
"Alex Grayson & A. M. Wilson","","","Pitch Dark","","","1.0"
"Zenina Masters","","","Dark Side","(Shifting Crossroads)","","1.0"
"Yasushi Inoue","Pushkin Collection","","The Hunting Gun","","Pushkin Collection","1.0"
"Wendy Vella","Lords Of Night Street","4","Lord Noble","","Lords Of Night Street","4.0"
"Abbie Zanders","Cerasino Family","2","Just For Him","","Cerasino Family","2.0"
"Vella Day","Weres and Witches of Silver Lake","10","Her Wolf's Guarded Heart","A Hot Paranormal Fantasy Romance with Witches, Werewolves, and Werebears","Weres and Witches of Silver Lake","10.0"
"Vanessa Vale","Steele Ranch","1","Spurred","","Steele Ranch","1.0"
"Vanessa Vale","Bridgewater County","6","Kiss Me Crazy","","Bridgewater County","6.0"
"Vella Day","Hidden Realms of Silver Lake","1","Awakened By Flames","A Hot Paranormal Dragon Shifter Saga","Hidden Realms of Silver Lake","1.0"
"Tracy St. John","","","Shalia's Diary Book 12","","","1.0"
"Tia Wylder","","","Fate","","","1.0"
"Tia Siren & Candy Stone","","","Double Doms","A Menage Baby Romance","","1.0"
"Tia Siren & Candy Stone","","","Claiming Chastity","A Fake Marriage Romance","","1.0"
"Tess Oliver","","","Losing Control","A Look Don’t Touch Prequel","","1.0"
"Teresa Roman","","","Someone Special","","","1.0"
"Teresa Roman","","","Daughter of Magic","","","1.0"
"Tasha Black","Tarker's Hollow","1","Crush This!","A 300 Moons Book","Tarker's Hollow","1.0"
"Tamsen Parker","","","Seduction on the Slopes","","","1.0"
"TW Brown","New DEAD series","3","DEAD_Suffer The Children","","New DEAD series","3.0"
"Susan Sheehey","Knights of Texas","2","Tell Me What You Crave","","Knights of Texas","2.0"
"Susan Sheehey","","","Tell Me What You Need","","","1.0"
"Sidney Bristol","Gone Geek","6","The Fake Boyfriend and the Geek","","Gone Geek","6.0"
"Shelley Munro","Middlemarch Shifters","15","My Twin Trouble","","Middlemarch Shifters","15.0"
"Shelley Munro","Middlemarch Capture","4","Spellbound with Sly","","Middlemarch Capture","4.0"
"Shelley Munro","Middlemarch Shifters","14","My Blue Lady","","Middlemarch Shifters","14.0"
"Shelley Munro","","","Buzz","","","1.0"
"Shelley Munro","","","Romp","","","1.0"
"Shelley Munro","","","Protection","","","1.0"
"Shari J. Ryan","","","Man Flu","","","1.0"
"Scott Langrel","Murphy and Loco","1","Drovers and Demons","A Weird Tale of the Old West","Murphy and Loco","1.0"
"Sam Crescent","Chaos Bleeds","10","Natalie's Choice","","Chaos Bleeds","10.0"
"S Lawrence","Guardians","2","Greek Fire","","Guardians","2.0"
"S Lawrence","Guardian Series","","First Fire","The First Guardian Novella","Guardian Series","1.0"
"Richard Tongue","","","Battlecruiser Alamo_Cries in the Dark","","","1.0"
"Renee Rose & Lee Savino","","","Alpha’s Obsession","","","1.0"
"Renee Rose","","","Her Royal Master","A Bad Boy Billionaire Romance","","1.0"
"Rebecca Kate","","","This is Not a Fairytale","","","1.0"
"Rachel Wesson","Trail of Hearts","5","Oregon Disaster","","Trail of Hearts","5.0"
"Rachel Wesson","Trails of the Heart","4","Oregon Discovery","","Trails of the Heart","4.0"
"Phyllis D. Light","","","Southern Folk Medicine","","","1.0"
"Orlando A. Sanchez","Montague & Strong Case Files","4","Silver Clouds Dirty Sky","A Montague and Strong Detective Novel","Montague & Strong Case Files","4.0"
"Natalie Knight & Vivien Vale","","","Wanted_Big Bad Brother","A Billionaire Bad Boy Stepbrother Romance","","1.0"
"Nancy Webster","History of Brooklyn Bridge Park","1","A History of Brooklyn Bridge Park","","History of Brooklyn Bridge Park","1.0"
"Nancy Stopper","Oak Grove series","6","One Last Gift","A Small-Town Romance","Oak Grove series","6.0"
"Nancy Stopper","Oak Grove series","4","One Last Objection","A Small-Town Romance","Oak Grove series","4.0"
"Nancy Stopper","Oak Grove series","3","One Last Chance","A Small-Town Romance","Oak Grove series","3.0"
"Nancy Stopper","Oak Grove series","1","One Last Risk","","Oak Grove series","1.0"
"Nancy Stopper","Oak Grove series","2","One Last Dance","","Oak Grove series","2.0"
"Nancy Stopper","Oak Grove series","0.5","Last Call","A Small-Town Romance","Oak Grove series","0.5"
